snp	 s0	s1	s2	s3	
3	46	103	121	NA 
2	46	123	NA NA 
3	46	120	147	NA 
3	46	139	158	NA 
3	46	128	158	NA 
3	46	110	155	NA 
3	44	120	130	NA 
3	46	130	138	NA 
3	50	104	130	NA 
2	46	130	NA NA 
2	46	131	NA NA 
4	12	46	47	131	
3	46	103	130	NA 
3	46	114	117	NA 
4	46	109	134	152	
2	46	109	NA NA 
2	46	126	NA NA 
3	46	130	144	NA 
2	44	104	NA NA 
3	44	110	158	NA 
3	46	110	154	NA 
4	46	57	110	141	
3	46	121	124	NA 
4	14	46	104	130	
3	46	104	147	NA 
3	46	103	118	NA 
2	46	151	NA NA 
4	46	88	110	149	
3	46	120	141	NA 
4	46	53	114	134	
2	62	151	NA NA 
4	46	144	146	151	
3	46	103	155	NA 
4	46	93	103	155	
4	46	103	108	149	
4	46	103	111	155	
4	46	103	141	155	
3	46	104	155	NA 
3	46	103	158	NA 
4	46	138	156	158	
4	46	91	120	153	
3	46	131	134	NA 
4	46	122	124	128	
4	6	46	112	117	
3	46	105	138	NA 
3	46	139	149	NA 
4	48	115	145	158	
3	44	115	158	NA 
4	40	44	115	123	
3	44	115	149	NA 
3	44	143	149	NA 
4	46	56	89	149	
4	39	46	143	149	
4	46	94	134	147	
3	46	62	147	NA 
3	46	103	149	NA 
4	46	103	149	158	
3	46	103	149	NA 
4	46	61	104	158	
3	46	115	155	NA 
3	46	110	145	NA 
4	46	63	103	154	
4	46	110	119	155	
2	44	130	NA NA 
2	44	130	NA NA 
3	44	110	155	NA 
4	44	110	154	155	
3	46	110	149	NA 
2	46	149	NA NA 
2	44	147	NA NA 
2	44	149	NA NA 
4	46	88	111	112	
2	46	114	NA NA 
4	46	94	111	126	
4	50	110	126	156	
3	50	114	138	NA 
2	50	121	NA NA 
2	50	121	NA NA 
3	29	134	151	NA 
4	44	133	147	149	
3	44	103	155	NA 
4	44	103	145	156	
4	44	75	103	158	
4	44	94	103	155	
3	44	103	155	NA 
3	44	103	155	NA 
3	44	103	155	NA 
2	46	131	NA NA 
2	46	149	NA NA 
3	43	46	109	NA 
4	46	103	104	145	
4	46	50	103	151	
4	46	103	129	155	
4	46	60	103	155	
4	44	49	103	155	
4	44	98	110	155	
4	19	46	104	155	
4	46	143	150	155	
4	46	55	144	155	
4	46	47	144	153	
4	46	89	112	153	
4	46	105	115	141	
3	46	93	153	NA 
3	46	145	149	NA 
4	46	111	112	141	
4	46	68	111	151	
4	44	52	115	155	
3	44	110	155	NA 
3	44	131	135	NA 
2	44	131	NA NA 
3	44	88	131	NA 
4	46	110	146	153	
4	14	44	110	147	
2	53	145	NA NA 
4	44	57	119	132	
4	36	44	97	122	
4	46	103	116	158	
4	46	103	148	158	
4	46	72	103	141	
4	46	47	103	141	
4	46	88	103	155	
4	46	49	103	155	
3	46	103	155	NA 
3	46	103	158	NA 
3	46	103	155	NA 
3	46	103	155	NA 
3	46	110	155	NA 
4	40	46	110	155	
4	44	91	110	155	
4	44	89	110	155	
4	44	103	115	153	
3	44	103	158	NA 
4	44	91	103	158	
4	44	57	103	158	
4	46	104	105	119	
3	46	104	121	NA 
2	46	121	NA NA 
4	46	143	155	159	
4	46	91	155	159	
4	22	46	155	159	
3	46	104	155	NA 
3	46	134	155	NA 
