snp	 s0	s1	s2	s3	
1	76	NA NA NA 
1	11	NA NA NA 
1	15	NA NA NA 
1	9	NA NA NA 
1	90	NA NA NA 
1	52	NA NA NA 
1	107	NA NA NA 
1	9	NA NA NA 
1	84	NA NA NA 
1	64	NA NA NA 
1	10	NA NA NA 
4	105	106	135	153	
1	142	NA NA NA 
2	82	143	NA NA 
1	112	NA NA NA 
1	11	NA NA NA 
1	9	NA NA NA 
1	8	NA NA NA 
1	8	NA NA NA 
1	8	NA NA NA 
1	119	NA NA NA 
2	8	66	NA NA 
2	67	149	NA NA 
4	33	101	117	131	
1	78	NA NA NA 
1	7	NA NA NA 
1	2	NA NA NA 
1	82	NA NA NA 
1	60	NA NA NA 
2	15	83	NA NA 
1	7	NA NA NA 
1	143	NA NA NA 
1	8	NA NA NA 
1	8	NA NA NA 
1	59	NA NA NA 
1	131	NA NA NA 
1	98	NA NA NA 
1	15	NA NA NA 
1	102	NA NA NA 
1	10	NA NA NA 
1	11	NA NA NA 
1	143	NA NA NA 
1	101	NA NA NA 
3	82	117	146	NA 
1	61	NA NA NA 
1	9	NA NA NA 
1	9	NA NA NA 
1	96	NA NA NA 
1	85	NA NA NA 
1	123	NA NA NA 
1	149	NA NA NA 
1	10	NA NA NA 
1	108	NA NA NA 
1	85	NA NA NA 
1	84	NA NA NA 
1	9	NA NA NA 
1	9	NA NA NA 
1	123	NA NA NA 
1	132	NA NA NA 
1	8	NA NA NA 
1	145	NA NA NA 
2	8	106	NA NA 
1	8	NA NA NA 
1	9	NA NA NA 
1	76	NA NA NA 
1	9	NA NA NA 
1	147	NA NA NA 
1	85	NA NA NA 
1	7	NA NA NA 
1	131	NA NA NA 
1	11	NA NA NA 
1	157	NA NA NA 
1	54	NA NA NA 
1	131	NA NA NA 
1	107	NA NA NA 
1	7	NA NA NA 
1	8	NA NA NA 
1	15	NA NA NA 
1	107	NA NA NA 
1	10	NA NA NA 
1	15	NA NA NA 
1	149	NA NA NA 
1	96	NA NA NA 
2	67	119	NA NA 
4	11	41	144	150	
2	131	147	NA NA 
2	77	103	NA NA 
1	84	NA NA NA 
1	9	NA NA NA 
3	10	61	138	NA 
2	9	11	NA NA 
3	52	101	106	NA 
2	111	145	NA NA 
3	11	107	123	NA 
4	54	67	69	138	
1	103	NA NA NA 
1	11	NA NA NA 
1	9	NA NA NA 
1	11	NA NA NA 
1	10	NA NA NA 
4	7	85	103	132	
3	9	123	124	NA 
1	3	NA NA NA 
1	103	NA NA NA 
1	132	NA NA NA 
1	152	NA NA NA 
1	8	NA NA NA 
1	52	NA NA NA 
1	127	NA NA NA 
2	66	153	NA NA 
1	93	NA NA NA 
1	137	NA NA NA 
1	55	NA NA NA 
2	61	140	NA NA 
1	8	NA NA NA 
1	7	NA NA NA 
1	96	NA NA NA 
1	96	NA NA NA 
1	117	NA NA NA 
0	NA NA NA NA 
1	10	NA NA NA 
1	144	NA NA NA 
1	80	NA NA NA 
1	103	NA NA NA 
1	91	NA NA NA 
2	8	82	NA NA 
3	15	61	148	NA 
1	141	NA NA NA 
1	127	NA NA NA 
1	139	NA NA NA 
1	15	NA NA NA 
1	70	NA NA NA 
3	11	50	106	NA 
2	106	142	NA NA 
1	54	NA NA NA 
2	56	94	NA NA 
1	8	NA NA NA 
1	8	NA NA NA 
2	88	149	NA NA 
3	8	93	111	NA 
1	154	NA NA NA 
1	81	NA NA NA 
1	8	NA NA NA 
1	10	NA NA NA 
1	107	NA NA NA 
1	80	NA NA NA 
1	8	NA NA NA 
1	101	NA NA NA 
2	8	132	NA NA 
1	7	NA NA NA 
1	15	NA NA NA 
1	123	NA NA NA 
1	10	NA NA NA 
2	58	156	NA NA 
2	26	142	NA NA 
1	90	NA NA NA 
1	94	NA NA NA 
2	7	9	NA NA 
1	10	NA NA NA 
1	113	NA NA NA 
1	148	NA NA NA 
2	10	29	NA NA 
1	52	NA NA NA 
1	9	NA NA NA 
2	7	145	NA NA 
1	81	NA NA NA 
4	30	51	56	148	
1	11	NA NA NA 
1	55	NA NA NA 
1	15	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
2	126	148	NA NA 
1	59	NA NA NA 
1	151	NA NA NA 
1	7	NA NA NA 
2	101	137	NA NA 
3	9	61	64	NA 
1	94	NA NA NA 
1	146	NA NA NA 
3	54	121	147	NA 
3	11	78	109	NA 
4	8	13	84	153	
3	106	112	143	NA 
2	91	96	NA NA 
1	56	NA NA NA 
1	101	NA NA NA 
2	54	153	NA NA 
3	37	145	148	NA 
1	123	NA NA NA 
1	7	NA NA NA 
1	82	NA NA NA 
3	64	83	147	NA 
1	131	NA NA NA 
2	11	101	NA NA 
3	8	93	126	NA 
2	15	107	NA NA 
2	11	49	NA NA 
1	113	NA NA NA 
2	66	99	NA NA 
1	15	NA NA NA 
1	9	NA NA NA 
1	93	NA NA NA 
2	10	15	NA NA 
1	9	NA NA NA 
1	11	NA NA NA 
1	37	NA NA NA 
1	15	NA NA NA 
2	119	137	NA NA 
1	9	NA NA NA 
2	131	156	NA NA 
2	15	22	NA NA 
2	7	94	NA NA 
1	127	NA NA NA 
1	8	NA NA NA 
1	76	NA NA NA 
1	98	NA NA NA 
2	132	147	NA NA 
1	7	NA NA NA 
1	145	NA NA NA 
1	10	NA NA NA 
2	8	133	NA NA 
1	8	NA NA NA 
1	119	NA NA NA 
1	7	NA NA NA 
1	98	NA NA NA 
1	83	NA NA NA 
1	103	NA NA NA 
1	8	NA NA NA 
1	44	NA NA NA 
3	9	80	140	NA 
1	82	NA NA NA 
1	78	NA NA NA 
2	8	87	NA NA 
1	11	NA NA NA 
1	11	NA NA NA 
1	15	NA NA NA 
1	119	NA NA NA 
1	7	NA NA NA 
2	40	119	NA NA 
1	67	NA NA NA 
1	11	NA NA NA 
1	11	NA NA NA 
1	11	NA NA NA 
1	15	NA NA NA 
1	152	NA NA NA 
2	91	109	NA NA 
1	91	NA NA NA 
1	99	NA NA NA 
1	139	NA NA NA 
1	52	NA NA NA 
1	10	NA NA NA 
1	9	NA NA NA 
1	141	NA NA NA 
1	11	NA NA NA 
