snp	 s0	s1	s2	s3	
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
2	50	107	NA NA 
1	20	NA NA NA 
0	NA NA NA NA 
3	38	73	106	NA 
1	37	NA NA NA 
4	49	60	64	72	
3	32	47	113	NA 
4	35	46	71	111	
4	19	26	37	92	
4	35	48	107	110	
3	89	106	108	NA 
2	33	52	NA NA 
1	95	NA NA NA 
4	33	36	47	102	
4	14	45	46	99	
2	52	90	NA NA 
1	32	NA NA NA 
0	NA NA NA NA 
3	16	19	26	NA 
2	19	90	NA NA 
4	9	49	58	100	
1	14	NA NA NA 
4	50	72	84	101	
1	95	NA NA NA 
4	37	52	77	81	
4	5	16	30	63	
0	NA NA NA NA 
4	40	46	75	110	
3	39	55	79	NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
1	11	NA NA NA 
1	39	NA NA NA 
4	21	94	99	100	
4	39	52	82	91	
3	36	52	105	NA 
4	62	72	108	109	
3	25	56	74	NA 
0	NA NA NA NA 
0	NA NA NA NA 
1	37	NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
1	94	NA NA NA 
0	NA NA NA NA 
4	20	45	63	67	
1	15	NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
1	32	NA NA NA 
0	NA NA NA NA 
1	15	NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
1	74	NA NA NA 
4	2	35	57	110	
1	94	NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
1	70	NA NA NA 
1	95	NA NA NA 
3	11	25	40	NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
1	81	NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
1	74	NA NA NA 
0	NA NA NA NA 
1	76	NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
1	61	NA NA NA 
0	NA NA NA NA 
1	32	NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
1	68	NA NA NA 
1	78	NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
1	95	NA NA NA 
1	94	NA NA NA 
1	96	NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
1	41	NA NA NA 
3	35	57	112	NA 
1	95	NA NA NA 
0	NA NA NA NA 
1	37	NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
1	40	NA NA NA 
4	13	32	55	84	
1	36	NA NA NA 
1	95	NA NA NA 
3	25	47	110	NA 
1	16	NA NA NA 
2	64	76	NA NA 
1	37	NA NA NA 
4	41	48	62	76	
3	49	95	100	NA 
4	24	35	47	111	
4	64	76	85	110	
1	62	NA NA NA 
0	NA NA NA NA 
1	104	NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
2	19	92	NA NA 
2	15	53	NA NA 
4	18	48	76	111	
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
1	39	NA NA NA 
0	NA NA NA NA 
2	18	49	NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
2	32	49	NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
1	29	NA NA NA 
0	NA NA NA NA 
3	53	72	86	NA 
0	NA NA NA NA 
4	12	26	68	105	
4	1	55	64	80	
4	22	39	63	97	
3	27	52	64	NA 
3	26	45	100	NA 
3	36	57	101	NA 
2	34	74	NA NA 
1	70	NA NA NA 
3	50	68	112	NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
1	17	NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
0	NA NA NA NA 
1	35	NA NA NA 
1	27	NA NA NA 
2	84	89	NA NA 
0	NA NA NA NA 
1	19	NA NA NA 
4	6	37	47	101	
3	37	47	105	NA 
