snp	 s0	s1	s2	s3	
3	49	88	158	NA 
1	148	NA NA NA 
3	13	157	170	NA 
4	28	55	102	170	
1	128	NA NA NA 
4	17	49	146	170	
3	45	114	175	NA 
1	128	NA NA NA 
2	57	165	NA NA 
1	128	NA NA NA 
2	114	165	NA NA 
1	133	NA NA NA 
4	32	47	80	138	
1	149	NA NA NA 
1	150	NA NA NA 
1	154	NA NA NA 
3	55	132	142	NA 
1	165	NA NA NA 
1	143	NA NA NA 
1	136	NA NA NA 
1	144	NA NA NA 
1	131	NA NA NA 
1	128	NA NA NA 
1	145	NA NA NA 
2	47	158	NA NA 
3	55	90	148	NA 
2	90	170	NA NA 
3	13	111	131	NA 
2	55	133	NA NA 
2	49	131	NA NA 
1	175	NA NA NA 
2	131	149	NA NA 
1	136	NA NA NA 
1	175	NA NA NA 
1	175	NA NA NA 
1	165	NA NA NA 
1	150	NA NA NA 
1	170	NA NA NA 
1	131	NA NA NA 
1	144	NA NA NA 
1	149	NA NA NA 
1	149	NA NA NA 
3	104	120	176	NA 
2	75	151	NA NA 
3	108	152	171	NA 
2	75	150	NA NA 
2	53	148	NA NA 
4	49	93	104	152	
3	47	55	176	NA 
2	55	150	NA NA 
2	55	138	NA NA 
4	17	47	128	170	
2	136	158	NA NA 
4	28	55	116	128	
3	86	130	148	NA 
3	43	47	123	NA 
4	47	70	78	176	
2	67	158	NA NA 
3	63	138	141	NA 
1	129	NA NA NA 
2	94	150	NA NA 
4	64	148	150	170	
1	176	NA NA NA 
1	175	NA NA NA 
1	165	NA NA NA 
3	55	64	146	NA 
2	87	123	NA NA 
3	1	133	136	NA 
1	142	NA NA NA 
2	119	144	NA NA 
1	176	NA NA NA 
4	54	67	114	151	
1	124	NA NA NA 
1	150	NA NA NA 
3	49	90	152	NA 
1	151	NA NA NA 
1	150	NA NA NA 
1	154	NA NA NA 
3	1	87	131	NA 
1	175	NA NA NA 
1	146	NA NA NA 
1	175	NA NA NA 
1	128	NA NA NA 
1	143	NA NA NA 
1	131	NA NA NA 
1	150	NA NA NA 
1	165	NA NA NA 
1	158	NA NA NA 
1	151	NA NA NA 
1	136	NA NA NA 
3	55	139	150	NA 
3	55	102	149	NA 
4	55	102	130	149	
3	55	90	131	NA 
3	47	90	133	NA 
2	49	176	NA NA 
3	47	133	176	NA 
3	47	133	175	NA 
1	150	NA NA NA 
3	47	149	161	NA 
1	144	NA NA NA 
1	176	NA NA NA 
2	170	176	NA NA 
1	129	NA NA NA 
1	129	NA NA NA 
2	145	148	NA NA 
1	127	NA NA NA 
1	146	NA NA NA 
1	148	NA NA NA 
1	136	NA NA NA 
1	176	NA NA NA 
1	181	NA NA NA 
1	176	NA NA NA 
1	175	NA NA NA 
1	149	NA NA NA 
2	111	152	NA NA 
2	138	151	NA NA 
2	47	138	NA NA 
1	176	NA NA NA 
3	49	115	128	NA 
1	133	NA NA NA 
3	114	144	182	NA 
3	47	76	150	NA 
1	175	NA NA NA 
1	176	NA NA NA 
3	113	128	154	NA 
2	150	171	NA NA 
2	114	175	NA NA 
1	148	NA NA NA 
2	49	124	NA NA 
1	153	NA NA NA 
1	148	NA NA NA 
1	154	NA NA NA 
3	55	90	145	NA 
3	55	107	146	NA 
3	47	102	146	NA 
1	158	NA NA NA 
1	151	NA NA NA 
1	149	NA NA NA 
1	136	NA NA NA 
1	136	NA NA NA 
1	175	NA NA NA 
2	130	175	NA NA 
1	136	NA NA NA 
1	128	NA NA NA 
1	149	NA NA NA 
1	149	NA NA NA 
1	131	NA NA NA 
1	158	NA NA NA 
1	158	NA NA NA 
1	144	NA NA NA 
1	144	NA NA NA 
1	90	NA NA NA 
1	90	NA NA NA 
1	136	NA NA NA 
1	144	NA NA NA 
1	176	NA NA NA 
2	49	136	NA NA 
2	47	176	NA NA 
3	47	103	128	NA 
3	47	103	128	NA 
4	47	102	131	132	
1	132	NA NA NA 
1	170	NA NA NA 
1	165	NA NA NA 
1	131	NA NA NA 
2	55	76	NA NA 
4	118	127	148	176	
1	149	NA NA NA 
3	62	69	149	NA 
1	136	NA NA NA 
2	55	152	NA NA 
2	62	176	NA NA 
1	128	NA NA NA 
2	48	136	NA NA 
4	3	101	129	161	
3	47	136	157	NA 
1	136	NA NA NA 
2	114	150	NA NA 
4	47	54	142	162	
3	88	144	154	NA 
3	47	103	154	NA 
3	29	72	102	NA 
4	47	63	68	150	
1	145	NA NA NA 
1	90	NA NA NA 
3	49	106	165	NA 
3	49	103	165	NA 
4	27	49	103	165	
3	49	103	149	NA 
2	47	136	NA NA 
3	60	115	146	NA 
3	47	106	136	NA 
4	47	63	102	136	
4	31	47	102	151	
4	47	93	148	150	
4	67	129	143	163	
2	49	150	NA NA 
1	165	NA NA NA 
3	52	104	138	NA 
4	64	101	121	150	
2	82	150	NA NA 
4	67	100	139	149	
2	7	136	NA NA 
1	154	NA NA NA 
3	55	127	148	NA 
