snp	 s0	s1	s2	s3	
1	113	NA NA NA 
1	103	NA NA NA 
3	31	95	135	NA 
2	95	97	NA NA 
1	103	NA NA NA 
3	63	97	107	NA 
1	105	NA NA NA 
1	96	NA NA NA 
1	105	NA NA NA 
2	107	142	NA NA 
1	107	NA NA NA 
3	84	94	137	NA 
1	102	NA NA NA 
2	61	113	NA NA 
1	110	NA NA NA 
1	93	NA NA NA 
1	91	NA NA NA 
2	91	93	NA NA 
1	118	NA NA NA 
1	91	NA NA NA 
2	35	118	NA NA 
1	113	NA NA NA 
1	91	NA NA NA 
1	113	NA NA NA 
1	115	NA NA NA 
1	99	NA NA NA 
1	99	NA NA NA 
1	99	NA NA NA 
1	95	NA NA NA 
1	107	NA NA NA 
1	107	NA NA NA 
1	96	NA NA NA 
1	91	NA NA NA 
1	91	NA NA NA 
2	99	140	NA NA 
2	63	91	NA NA 
1	103	NA NA NA 
1	107	NA NA NA 
1	99	NA NA NA 
1	113	NA NA NA 
1	88	NA NA NA 
3	64	82	100	NA 
2	93	151	NA NA 
2	105	118	NA NA 
3	80	115	119	NA 
2	61	115	NA NA 
4	69	97	115	126	
4	31	65	90	115	
2	70	100	NA NA 
4	73	91	103	114	
4	63	107	111	117	
3	73	91	102	NA 
3	69	96	103	NA 
3	91	94	98	NA 
4	64	68	91	128	
2	66	103	NA NA 
3	38	55	108	NA 
2	40	113	NA NA 
4	7	59	100	105	
4	7	44	61	89	
2	42	89	NA NA 
3	14	89	105	NA 
3	10	11	91	NA 
1	100	NA NA NA 
2	98	113	NA NA 
1	115	NA NA NA 
2	115	117	NA NA 
1	114	NA NA NA 
2	86	103	NA NA 
1	107	NA NA NA 
1	99	NA NA NA 
1	108	NA NA NA 
1	103	NA NA NA 
1	93	NA NA NA 
1	115	NA NA NA 
1	113	NA NA NA 
1	115	NA NA NA 
1	89	NA NA NA 
1	100	NA NA NA 
1	89	NA NA NA 
1	107	NA NA NA 
1	91	NA NA NA 
1	100	NA NA NA 
1	91	NA NA NA 
1	102	NA NA NA 
1	99	NA NA NA 
1	103	NA NA NA 
1	91	NA NA NA 
1	99	NA NA NA 
1	89	NA NA NA 
3	103	143	147	NA 
1	89	NA NA NA 
3	96	130	144	NA 
2	67	102	NA NA 
1	113	NA NA NA 
1	105	NA NA NA 
1	103	NA NA NA 
2	95	100	NA NA 
2	100	114	NA NA 
1	91	NA NA NA 
1	89	NA NA NA 
1	100	NA NA NA 
4	67	78	107	112	
1	99	NA NA NA 
1	105	NA NA NA 
1	107	NA NA NA 
2	75	104	NA NA 
1	99	NA NA NA 
1	103	NA NA NA 
1	100	NA NA NA 
2	76	102	NA NA 
1	115	NA NA NA 
4	103	118	132	154	
1	94	NA NA NA 
2	66	118	NA NA 
1	105	NA NA NA 
1	94	NA NA NA 
1	100	NA NA NA 
1	103	NA NA NA 
1	95	NA NA NA 
1	103	NA NA NA 
2	93	105	NA NA 
1	115	NA NA NA 
1	91	NA NA NA 
1	94	NA NA NA 
1	103	NA NA NA 
2	105	110	NA NA 
1	115	NA NA NA 
1	113	NA NA NA 
1	113	NA NA NA 
2	88	93	NA NA 
2	57	95	NA NA 
1	105	NA NA NA 
1	103	NA NA NA 
1	100	NA NA NA 
2	68	104	NA NA 
2	94	107	NA NA 
3	5	93	97	NA 
1	93	NA NA NA 
2	62	114	NA NA 
1	115	NA NA NA 
1	110	NA NA NA 
1	93	NA NA NA 
1	100	NA NA NA 
2	105	116	NA NA 
3	27	96	105	NA 
1	105	NA NA NA 
1	118	NA NA NA 
2	105	129	NA NA 
2	93	146	NA NA 
2	76	105	NA NA 
1	105	NA NA NA 
2	103	108	NA NA 
2	3	95	NA NA 
2	95	99	NA NA 
2	93	115	NA NA 
1	115	NA NA NA 
1	89	NA NA NA 
1	103	NA NA NA 
1	107	NA NA NA 
1	95	NA NA NA 
1	118	NA NA NA 
1	91	NA NA NA 
1	102	NA NA NA 
1	91	NA NA NA 
1	105	NA NA NA 
1	89	NA NA NA 
1	107	NA NA NA 
1	113	NA NA NA 
1	107	NA NA NA 
1	118	NA NA NA 
1	104	NA NA NA 
1	107	NA NA NA 
1	113	NA NA NA 
3	61	88	93	NA 
1	115	NA NA NA 
2	0	115	NA NA 
1	89	NA NA NA 
1	103	NA NA NA 
1	105	NA NA NA 
1	96	NA NA NA 
2	73	99	NA NA 
0	NA NA NA NA 
1	113	NA NA NA 
2	42	91	NA NA 
1	107	NA NA NA 
1	103	NA NA NA 
2	66	115	NA NA 
1	115	NA NA NA 
1	103	NA NA NA 
2	31	105	NA NA 
2	54	89	NA NA 
2	60	95	NA NA 
4	113	115	118	123	
1	102	NA NA NA 
2	100	126	NA NA 
2	107	124	NA NA 
1	113	NA NA NA 
1	102	NA NA NA 
1	100	NA NA NA 
3	37	68	102	NA 
4	0	62	67	118	
1	115	NA NA NA 
2	99	105	NA NA 
3	91	97	108	NA 
1	91	NA NA NA 
1	102	NA NA NA 
1	118	NA NA NA 
1	96	NA NA NA 
3	110	115	129	NA 
2	79	118	NA NA 
3	41	49	118	NA 
4	100	135	151	154	
3	98	107	116	NA 
3	4	93	113	NA 
1	86	NA NA NA 
1	115	NA NA NA 
1	108	NA NA NA 
2	103	145	NA NA 
1	105	NA NA NA 
3	15	76	107	NA 
1	105	NA NA NA 
1	115	NA NA NA 
1	118	NA NA NA 
1	95	NA NA NA 
1	107	NA NA NA 
1	118	NA NA NA 
0	NA NA NA NA 
1	95	NA NA NA 
1	115	NA NA NA 
1	105	NA NA NA 
2	59	105	NA NA 
1	99	NA NA NA 
1	118	NA NA NA 
1	99	NA NA NA 
1	93	NA NA NA 
1	116	NA NA NA 
3	15	29	99	NA 
2	48	95	NA NA 
