snp	 s0	s1	s2	s3	
3	12	85	162	NA 
2	8	85	NA NA 
2	20	85	NA NA 
3	20	48	85	NA 
2	23	83	NA NA 
3	45	83	163	NA 
2	34	84	NA NA 
3	12	30	161	NA 
2	45	85	NA NA 
2	41	85	NA NA 
2	41	85	NA NA 
3	34	85	161	NA 
3	47	55	85	NA 
2	42	85	NA NA 
2	39	84	NA NA 
3	12	84	160	NA 
4	21	26	84	160	
3	1	85	161	NA 
3	1	85	105	NA 
2	8	85	NA NA 
4	8	85	99	117	
2	44	85	NA NA 
3	41	45	85	NA 
2	23	85	NA NA 
4	42	51	85	163	
3	48	84	163	NA 
3	43	58	84	NA 
2	47	85	NA NA 
2	38	85	NA NA 
3	39	85	161	NA 
4	15	57	85	161	
4	51	55	59	85	
4	59	85	127	161	
2	57	83	NA NA 
2	57	85	NA NA 
4	37	52	57	85	
2	57	85	NA NA 
2	57	85	NA NA 
3	43	48	85	NA 
3	45	85	118	NA 
4	34	85	90	162	
3	44	85	160	NA 
3	23	84	115	NA 
4	38	69	85	95	
2	8	85	NA NA 
2	42	85	NA NA 
3	20	85	163	NA 
2	35	85	NA NA 
2	28	85	NA NA 
2	12	85	NA NA 
4	12	80	85	161	
3	12	85	161	NA 
4	38	70	85	161	
3	38	85	160	NA 
2	34	85	NA NA 
3	44	85	163	NA 
3	39	84	117	NA 
3	28	48	84	NA 
3	32	84	154	NA 
2	23	84	NA NA 
2	34	84	NA NA 
2	28	85	NA NA 
3	23	85	163	NA 
3	12	85	86	NA 
2	20	85	NA NA 
3	25	85	130	NA 
3	25	85	162	NA 
3	31	85	161	NA 
3	34	85	161	NA 
2	43	85	NA NA 
2	42	84	NA NA 
3	27	41	84	NA 
2	45	84	NA NA 
3	44	85	161	NA 
3	42	85	161	NA 
2	12	85	NA NA 
2	28	85	NA NA 
4	32	75	85	161	
4	32	48	85	160	
4	41	85	88	133	
2	42	85	NA NA 
2	35	85	NA NA 
3	45	85	153	NA 
3	45	85	160	NA 
3	47	85	163	NA 
2	45	85	NA NA 
3	32	85	162	NA 
2	59	85	NA NA 
4	19	38	85	108	
2	28	85	NA NA 
3	12	60	85	NA 
3	12	85	105	NA 
3	20	85	121	NA 
2	12	85	NA NA 
4	21	34	85	163	
4	35	44	85	163	
2	44	85	NA NA 
3	44	48	85	NA 
3	38	85	86	NA 
3	28	85	161	NA 
3	57	85	161	NA 
4	57	85	95	163	
3	21	58	85	NA 
3	21	85	111	NA 
3	21	85	163	NA 
2	57	85	NA NA 
2	57	85	NA NA 
4	6	34	47	85	
2	45	85	NA NA 
2	41	85	NA NA 
3	31	85	160	NA 
2	41	85	NA NA 
2	44	85	NA NA 
2	44	85	NA NA 
3	42	43	84	NA 
2	23	84	NA NA 
2	41	84	NA NA 
3	1	84	162	NA 
2	15	162	NA NA 
2	15	161	NA NA 
2	7	163	NA NA 
2	6	163	NA NA 
4	32	62	83	160	
2	56	161	NA NA 
2	50	62	NA NA 
2	56	62	NA NA 
2	35	84	NA NA 
3	35	85	160	NA 
2	25	85	NA NA 
2	21	85	NA NA 
3	47	48	85	NA 
2	59	85	NA NA 
3	50	59	85	NA 
3	56	58	85	NA 
2	58	85	NA NA 
4	50	58	85	162	
3	43	84	163	NA 
2	35	83	NA NA 
2	39	85	NA NA 
2	21	85	NA NA 
2	21	85	NA NA 
3	25	85	92	NA 
2	1	85	NA NA 
2	43	85	NA NA 
2	35	85	NA NA 
2	39	85	NA NA 
3	43	85	162	NA 
2	38	85	NA NA 
2	57	85	NA NA 
2	58	85	NA NA 
2	58	85	NA NA 
3	47	85	101	NA 
4	31	48	85	161	
3	12	85	162	NA 
3	47	85	162	NA 
4	42	48	84	96	
2	21	84	NA NA 
2	42	85	NA NA 
2	42	85	NA NA 
2	20	85	NA NA 
2	28	85	NA NA 
2	35	84	NA NA 
3	28	51	93	NA 
2	15	161	NA NA 
2	55	161	NA NA 
3	54	101	160	NA 
4	32	39	88	160	
2	31	85	NA NA 
3	8	85	163	NA 
3	8	85	161	NA 
2	8	85	NA NA 
2	8	85	NA NA 
2	43	85	NA NA 
2	44	85	NA NA 
3	23	85	129	NA 
4	29	32	85	161	
3	20	85	162	NA 
3	31	85	162	NA 
3	10	38	83	NA 
4	38	83	86	123	
3	42	83	86	NA 
4	3	62	76	162	
3	3	37	162	NA 
3	6	106	161	NA 
3	35	87	160	NA 
3	25	93	160	NA 
3	32	83	161	NA 
4	41	83	84	161	
2	25	85	NA NA 
4	9	42	85	161	
3	41	85	163	NA 
4	1	85	152	171	
4	1	51	59	86	
4	3	68	86	159	
4	6	41	58	86	
2	11	86	NA NA 
