snp	 s0	s1	s2	s3	
2	18	32	NA NA 
1	30	NA NA NA 
1	152	NA NA NA 
1	21	NA NA NA 
1	30	NA NA NA 
1	30	NA NA NA 
1	30	NA NA NA 
1	32	NA NA NA 
1	32	NA NA NA 
1	26	NA NA NA 
1	21	NA NA NA 
2	4	26	NA NA 
1	21	NA NA NA 
2	6	27	NA NA 
1	21	NA NA NA 
1	152	NA NA NA 
1	152	NA NA NA 
1	152	NA NA NA 
1	152	NA NA NA 
1	152	NA NA NA 
1	32	NA NA NA 
1	11	NA NA NA 
1	152	NA NA NA 
1	32	NA NA NA 
1	3	NA NA NA 
1	152	NA NA NA 
1	152	NA NA NA 
1	152	NA NA NA 
1	152	NA NA NA 
1	152	NA NA NA 
1	152	NA NA NA 
1	152	NA NA NA 
1	152	NA NA NA 
1	152	NA NA NA 
2	20	152	NA NA 
1	152	NA NA NA 
1	152	NA NA NA 
1	152	NA NA NA 
1	24	NA NA NA 
2	24	120	NA NA 
1	28	NA NA NA 
1	28	NA NA NA 
1	152	NA NA NA 
1	152	NA NA NA 
1	152	NA NA NA 
1	32	NA NA NA 
1	28	NA NA NA 
1	30	NA NA NA 
2	28	92	NA NA 
1	14	NA NA NA 
1	26	NA NA NA 
1	26	NA NA NA 
1	21	NA NA NA 
0	NA NA NA NA 
1	152	NA NA NA 
4	16	58	152	154	
4	7	26	32	152	
3	92	104	152	NA 
4	7	62	72	152	
1	152	NA NA NA 
4	4	101	125	152	
1	152	NA NA NA 
1	152	NA NA NA 
2	25	152	NA NA 
4	6	24	101	152	
1	152	NA NA NA 
1	152	NA NA NA 
1	152	NA NA NA 
2	30	32	NA NA 
1	32	NA NA NA 
3	26	32	83	NA 
3	32	50	105	NA 
1	32	NA NA NA 
2	32	74	NA NA 
1	30	NA NA NA 
1	32	NA NA NA 
2	24	30	NA NA 
2	7	12	NA NA 
1	152	NA NA NA 
1	152	NA NA NA 
2	90	152	NA NA 
1	152	NA NA NA 
1	30	NA NA NA 
1	26	NA NA NA 
1	32	NA NA NA 
2	26	154	NA NA 
1	62	NA NA NA 
1	26	NA NA NA 
1	152	NA NA NA 
1	152	NA NA NA 
1	152	NA NA NA 
2	104	152	NA NA 
1	28	NA NA NA 
3	30	71	103	NA 
0	NA NA NA NA 
1	12	NA NA NA 
1	11	NA NA NA 
1	32	NA NA NA 
2	32	98	NA NA 
1	32	NA NA NA 
3	28	117	129	NA 
2	22	152	NA NA 
2	30	123	NA NA 
1	152	NA NA NA 
1	152	NA NA NA 
1	32	NA NA NA 
1	28	NA NA NA 
1	27	NA NA NA 
1	26	NA NA NA 
1	32	NA NA NA 
1	152	NA NA NA 
1	152	NA NA NA 
1	152	NA NA NA 
1	152	NA NA NA 
2	125	152	NA NA 
1	12	NA NA NA 
3	11	112	138	NA 
1	32	NA NA NA 
1	32	NA NA NA 
1	32	NA NA NA 
3	26	72	77	NA 
4	12	49	75	131	
1	28	NA NA NA 
1	26	NA NA NA 
2	28	47	NA NA 
1	30	NA NA NA 
2	30	88	NA NA 
2	17	32	NA NA 
3	6	32	85	NA 
1	152	NA NA NA 
3	0	115	152	NA 
2	89	152	NA NA 
1	152	NA NA NA 
1	152	NA NA NA 
1	152	NA NA NA 
2	6	152	NA NA 
1	152	NA NA NA 
2	16	152	NA NA 
1	152	NA NA NA 
2	55	152	NA NA 
3	26	27	109	NA 
2	26	104	NA NA 
1	30	NA NA NA 
1	152	NA NA NA 
1	3	NA NA NA 
1	32	NA NA NA 
1	32	NA NA NA 
1	21	NA NA NA 
