snp	 s0	s1	s2	s3	
1	53	NA NA NA 
2	6	48	NA NA 
2	42	61	NA NA 
1	48	NA NA NA 
1	31	NA NA NA 
1	44	NA NA NA 
1	44	NA NA NA 
2	44	80	NA NA 
1	44	NA NA NA 
1	51	NA NA NA 
2	43	114	NA NA 
2	47	63	NA NA 
3	31	69	127	NA 
4	58	119	120	137	
1	58	NA NA NA 
1	44	NA NA NA 
1	40	NA NA NA 
1	53	NA NA NA 
2	47	51	NA NA 
1	47	NA NA NA 
1	43	NA NA NA 
2	31	118	NA NA 
3	4	45	51	NA 
1	50	NA NA NA 
1	56	NA NA NA 
1	40	NA NA NA 
3	18	35	55	NA 
1	53	NA NA NA 
1	51	NA NA NA 
3	6	53	89	NA 
1	55	NA NA NA 
2	42	44	NA NA 
1	43	NA NA NA 
1	48	NA NA NA 
1	43	NA NA NA 
1	45	NA NA NA 
1	43	NA NA NA 
2	31	40	NA NA 
1	48	NA NA NA 
2	55	99	NA NA 
1	50	NA NA NA 
1	53	NA NA NA 
1	31	NA NA NA 
2	5	50	NA NA 
2	51	55	NA NA 
1	50	NA NA NA 
2	55	144	NA NA 
2	50	125	NA NA 
1	58	NA NA NA 
1	51	NA NA NA 
2	45	91	NA NA 
2	58	82	NA NA 
2	31	64	NA NA 
3	14	56	113	NA 
2	43	50	NA NA 
4	20	44	58	71	
1	44	NA NA NA 
1	50	NA NA NA 
2	40	119	NA NA 
1	40	NA NA NA 
2	45	60	NA NA 
1	43	NA NA NA 
4	40	82	99	127	
2	33	43	NA NA 
3	43	54	88	NA 
3	6	19	43	NA 
3	16	31	42	NA 
2	55	98	NA NA 
2	55	86	NA NA 
3	34	40	114	NA 
2	45	118	NA NA 
1	31	NA NA NA 
1	48	NA NA NA 
1	42	NA NA NA 
3	50	125	143	NA 
2	46	58	NA NA 
1	31	NA NA NA 
3	14	58	136	NA 
1	43	NA NA NA 
2	56	94	NA NA 
1	44	NA NA NA 
1	45	NA NA NA 
1	48	NA NA NA 
1	55	NA NA NA 
1	53	NA NA NA 
2	40	95	NA NA 
2	45	137	NA NA 
1	53	NA NA NA 
3	50	58	114	NA 
1	56	NA NA NA 
3	6	23	55	NA 
1	50	NA NA NA 
3	22	58	110	NA 
3	53	93	117	NA 
2	55	106	NA NA 
1	53	NA NA NA 
4	19	31	46	76	
1	40	NA NA NA 
4	16	43	111	139	
2	18	48	NA NA 
3	20	56	92	NA 
2	43	80	NA NA 
3	12	53	79	NA 
1	48	NA NA NA 
2	48	80	NA NA 
3	4	48	80	NA 
1	55	NA NA NA 
3	40	62	73	NA 
3	44	82	123	NA 
1	40	NA NA NA 
2	58	85	NA NA 
2	42	100	NA NA 
1	56	NA NA NA 
2	29	53	NA NA 
2	45	47	NA NA 
2	19	44	NA NA 
2	8	40	NA NA 
1	48	NA NA NA 
1	44	NA NA NA 
1	43	NA NA NA 
1	45	NA NA NA 
3	43	74	82	NA 
2	14	58	NA NA 
2	15	43	NA NA 
1	45	NA NA NA 
2	43	115	NA NA 
2	48	99	NA NA 
1	55	NA NA NA 
2	41	45	NA NA 
4	35	37	45	78	
1	51	NA NA NA 
1	44	NA NA NA 
2	53	141	NA NA 
2	45	101	NA NA 
2	51	85	NA NA 
2	40	48	NA NA 
1	48	NA NA NA 
1	53	NA NA NA 
3	45	95	125	NA 
4	20	21	43	86	
1	43	NA NA NA 
1	58	NA NA NA 
1	53	NA NA NA 
1	53	NA NA NA 
2	43	107	NA NA 
1	48	NA NA NA 
3	53	59	145	NA 
4	20	23	43	130	
1	55	NA NA NA 
1	43	NA NA NA 
2	40	52	NA NA 
1	28	NA NA NA 
1	48	NA NA NA 
1	55	NA NA NA 
1	31	NA NA NA 
1	40	NA NA NA 
1	31	NA NA NA 
1	31	NA NA NA 
1	55	NA NA NA 
1	40	NA NA NA 
1	31	NA NA NA 
2	50	68	NA NA 
1	53	NA NA NA 
1	45	NA NA NA 
1	48	NA NA NA 
1	50	NA NA NA 
1	51	NA NA NA 
1	42	NA NA NA 
1	53	NA NA NA 
2	45	123	NA NA 
4	2	42	51	92	
1	55	NA NA NA 
1	40	NA NA NA 
4	12	30	44	131	
3	45	61	82	NA 
1	47	NA NA NA 
4	42	58	112	134	
4	26	53	98	104	
1	40	NA NA NA 
3	26	58	61	NA 
2	9	48	NA NA 
2	45	49	NA NA 
1	43	NA NA NA 
1	34	NA NA NA 
4	19	53	66	86	
1	43	NA NA NA 
4	28	38	44	56	
2	53	58	NA NA 
1	43	NA NA NA 
2	43	45	NA NA 
1	44	NA NA NA 
2	55	79	NA NA 
2	32	40	NA NA 
1	51	NA NA NA 
1	55	NA NA NA 
2	32	56	NA NA 
2	12	50	NA NA 
1	58	NA NA NA 
1	40	NA NA NA 
1	53	NA NA NA 
1	53	NA NA NA 
2	38	47	NA NA 
1	58	NA NA NA 
2	22	58	NA NA 
1	51	NA NA NA 
1	53	NA NA NA 
1	58	NA NA NA 
1	48	NA NA NA 
1	51	NA NA NA 
1	43	NA NA NA 
1	44	NA NA NA 
1	48	NA NA NA 
1	48	NA NA NA 
1	45	NA NA NA 
1	50	NA NA NA 
1	47	NA NA NA 
1	44	NA NA NA 
2	50	54	NA NA 
1	43	NA NA NA 
1	44	NA NA NA 
1	56	NA NA NA 
2	55	78	NA NA 
4	44	64	66	95	
1	28	NA NA NA 
1	55	NA NA NA 
2	40	55	NA NA 
1	56	NA NA NA 
1	51	NA NA NA 
3	16	37	44	NA 
1	51	NA NA NA 
1	40	NA NA NA 
2	44	62	NA NA 
1	58	NA NA NA 
1	43	NA NA NA 
2	45	126	NA NA 
1	48	NA NA NA 
1	40	NA NA NA 
1	48	NA NA NA 
1	45	NA NA NA 
1	58	NA NA NA 
2	31	40	NA NA 
1	55	NA NA NA 
1	48	NA NA NA 
1	48	NA NA NA 
1	48	NA NA NA 
2	7	45	NA NA 
1	31	NA NA NA 
1	53	NA NA NA 
1	48	NA NA NA 
2	48	111	NA NA 
1	53	NA NA NA 
1	53	NA NA NA 
4	5	55	122	137	
2	31	40	NA NA 
