snp	 s0	s1	s2	s3	
2	3	126	NA NA 
3	9	44	54	NA 
2	9	126	NA NA 
2	9	110	NA NA 
3	9	90	134	NA 
4	22	45	61	84	
3	22	48	136	NA 
2	22	135	NA NA 
3	5	8	141	NA 
4	22	67	109	134	
2	22	135	NA NA 
2	22	141	NA NA 
4	22	48	67	136	
4	22	92	98	123	
2	22	141	NA NA 
3	22	54	138	NA 
2	22	150	NA NA 
3	22	134	141	NA 
3	22	52	138	NA 
4	22	67	105	138	
3	22	74	93	NA 
2	22	84	NA NA 
4	22	73	85	133	
4	22	52	82	141	
3	22	118	125	NA 
2	9	134	NA NA 
4	22	66	126	157	
4	22	118	137	138	
3	22	63	153	NA 
4	6	22	48	136	
4	22	87	134	141	
4	5	9	90	95	
4	5	8	93	136	
1	105	NA NA NA 
2	25	122	NA NA 
3	9	95	149	NA 
4	7	31	127	157	
2	22	133	NA NA 
2	22	97	NA NA 
4	22	51	93	123	
4	22	53	76	134	
3	22	92	109	NA 
3	22	56	136	NA 
2	22	103	NA NA 
4	22	56	81	141	
4	22	51	72	141	
4	22	63	135	141	
3	22	69	157	NA 
4	22	84	97	129	
4	22	62	100	105	
3	9	52	133	NA 
3	8	9	81	NA 
4	9	136	147	150	
4	3	24	87	112	
3	7	54	136	NA 
2	0	106	NA NA 
4	3	58	152	157	
4	22	29	51	132	
4	9	99	108	111	
2	9	134	NA NA 
2	5	127	NA NA 
2	7	113	NA NA 
4	9	101	115	148	
3	9	60	131	NA 
3	9	60	141	NA 
2	5	96	NA NA 
4	9	136	141	150	
4	24	48	96	136	
1	111	NA NA NA 
2	5	159	NA NA 
2	7	83	NA NA 
1	109	NA NA NA 
3	22	103	105	NA 
2	22	107	NA NA 
2	22	124	NA NA 
1	99	NA NA NA 
2	3	80	NA NA 
2	7	120	NA NA 
4	22	65	69	102	
3	22	52	135	NA 
3	22	63	123	NA 
2	22	130	NA NA 
2	22	79	NA NA 
2	22	150	NA NA 
4	22	60	84	145	
3	22	48	141	NA 
2	22	141	NA NA 
4	22	61	88	120	
4	22	62	87	135	
4	9	44	50	118	
3	0	100	103	NA 
4	22	67	79	90	
3	22	90	95	NA 
4	22	52	107	134	
4	22	33	62	138	
4	22	53	81	138	
4	22	62	87	103	
3	22	78	87	NA 
4	22	78	93	123	
3	22	58	141	NA 
4	22	65	127	141	
1	150	NA NA NA 
2	22	83	NA NA 
1	107	NA NA NA 
1	107	NA NA NA 
2	9	150	NA NA 
2	22	145	NA NA 
4	5	84	106	119	
3	5	47	94	NA 
2	5	115	NA NA 
4	3	96	115	122	
3	3	52	84	NA 
2	7	103	NA NA 
4	5	41	100	146	
3	5	100	134	NA 
4	5	33	63	93	
2	9	127	NA NA 
4	7	54	135	150	
2	5	141	NA NA 
4	3	68	136	151	
2	3	157	NA NA 
3	3	44	138	NA 
3	5	109	125	NA 
3	22	57	64	NA 
2	22	101	NA NA 
4	22	64	107	133	
3	22	70	141	NA 
4	4	22	61	118	
2	22	123	NA NA 
2	22	159	NA NA 
3	22	76	141	NA 
3	22	63	136	NA 
3	22	51	135	NA 
4	22	55	132	141	
3	22	90	142	NA 
2	22	118	NA NA 
4	22	58	90	99	
2	22	117	NA NA 
4	22	52	109	123	
3	22	55	123	NA 
4	9	54	79	150	
4	22	55	105	141	
4	22	48	119	138	
2	7	109	NA NA 
2	7	120	NA NA 
3	22	119	152	NA 
2	22	131	NA NA 
3	22	44	123	NA 
4	29	55	75	116	
2	3	99	NA NA 
2	9	135	NA NA 
2	5	133	NA NA 
4	7	58	137	149	
4	7	74	87	123	
3	9	19	150	NA 
3	3	71	112	NA 
4	3	98	104	134	
2	9	134	NA NA 
3	9	80	134	NA 
2	7	80	NA NA 
3	41	107	141	NA 
2	22	90	NA NA 
2	22	134	NA NA 
2	22	135	NA NA 
3	22	61	124	NA 
2	22	141	NA NA 
4	22	51	110	119	
4	22	26	116	135	
4	22	76	113	134	
3	22	123	128	NA 
4	22	70	78	107	
3	22	101	124	NA 
3	22	44	126	NA 
3	22	69	115	NA 
2	22	143	NA NA 
4	22	55	107	134	
3	22	54	105	NA 
2	22	134	NA NA 
4	22	44	61	132	
4	22	64	87	124	
4	22	25	29	150	
4	21	22	135	137	
2	52	112	NA NA 
3	45	120	133	NA 
4	7	81	82	136	
2	5	159	NA NA 
2	5	45	NA NA 
3	22	55	134	NA 
2	22	136	NA NA 
4	22	44	53	136	
3	22	57	132	NA 
3	5	101	115	NA 
1	101	NA NA NA 
3	9	100	107	NA 
2	115	136	NA NA 
2	118	126	NA NA 
1	99	NA NA NA 
2	9	47	NA NA 
2	9	126	NA NA 
3	22	63	108	NA 
4	7	76	104	131	
2	56	126	NA NA 
2	7	109	NA NA 
2	61	95	NA NA 
1	84	NA NA NA 
1	104	NA NA NA 
3	109	110	124	NA 
2	9	137	NA NA 
4	5	95	134	157	
3	3	48	136	NA 
2	7	112	NA NA 
2	7	157	NA NA 
1	135	NA NA NA 
4	7	78	122	124	
2	33	109	NA NA 
3	0	129	136	NA 
3	3	91	135	NA 
2	9	141	NA NA 
3	7	61	138	NA 
3	5	58	87	NA 
4	22	52	87	104	
3	22	71	150	NA 
4	22	60	76	141	
3	22	102	104	NA 
3	22	91	113	NA 
2	22	119	NA NA 
2	5	130	NA NA 
2	9	105	NA NA 
1	136	NA NA NA 
3	3	113	124	NA 
1	141	NA NA NA 
1	115	NA NA NA 
2	22	133	NA NA 
2	22	138	NA NA 
4	22	51	116	141	
4	22	49	52	134	
3	22	79	92	NA 
3	22	105	135	NA 
2	22	80	NA NA 
4	22	51	65	136	
4	22	70	96	114	
2	22	124	NA NA 
3	22	63	138	NA 
3	22	51	135	NA 
3	22	70	134	NA 
2	22	115	NA NA 
2	22	136	NA NA 
3	22	78	126	NA 
2	22	159	NA NA 
2	22	114	NA NA 
4	22	53	113	124	
3	22	34	103	NA 
4	7	42	64	141	
2	9	136	NA NA 
4	9	103	117	127	
4	5	81	88	136	
2	58	99	NA NA 
2	7	99	NA NA 
3	27	52	130	NA 
4	7	120	122	150	
4	9	58	105	136	
4	4	9	61	146	
3	7	96	103	NA 
4	7	86	98	129	
3	7	71	101	NA 
4	9	68	113	124	
4	9	71	97	133	
2	22	129	NA NA 
2	22	130	NA NA 
3	22	59	126	NA 
4	22	51	67	136	
2	22	138	NA NA 
4	22	52	113	138	
4	22	53	64	138	
4	22	52	131	141	
4	22	89	118	136	
3	22	27	103	NA 
3	22	63	134	NA 
4	22	55	65	108	
4	22	63	133	144	
4	22	71	143	150	
4	22	61	149	159	
4	7	69	107	135	
4	6	7	80	108	
4	9	53	91	134	
4	22	60	109	123	
4	22	68	97	136	
3	22	105	127	NA 
3	9	47	146	NA 
2	9	156	NA NA 
4	3	66	124	138	
3	3	107	125	NA 
3	18	92	135	NA 
4	5	71	121	138	
2	5	138	NA NA 
3	5	54	138	NA 
4	5	95	138	155	
4	3	4	138	159	
3	5	65	134	NA 
3	5	63	134	NA 
4	5	123	126	141	
